sentence1,sentence2
David noticed he had put on a lot of weight recently.,He examined his habits to try and figure out the reason.
Tom had a very short temper.,One day a guest made him very angry.
Marcus needed clothing for a business casual event.,All of his clothes were either too formal or too casual.
Bobby thought Bill should buy a trailer and haul it with his car.,Bill thought a truck would be better for what he needed.
John was a pastor with a very bad memory.,He tried to memorize his sermons many days in advance but to no avail.
Melody's parents surprised her with a trip to the big aquarium.,Melody took a nap during the two hour car ride to the aquarium.
The math teacher announced a pop quiz as class began., While some students complained he began passing out the quiz.
My first girlfriend i met on the internet.,She lives about 4 hours away from me.
I got Charlie Horse when I was four years old., He's a brown stuffed horse and at 35 I still sleep with him at night.
Laura loved corn.,So she decided to grow some in her backyard.
Andy was invited to a Halloween party., Andy figured that for dramatic effect he should color his hair.
Luke was playing hockey at school.,The game was tied and almost over.
Robbie was competing in a cross country meet.,He was halfway through when his leg cramped up.
Jude was very excited about his college graduation ceremony., On the way to the arena he got stuck in traffic.
Beth sent a letter to Santa Claus.,She received a letter back in the mail.
Our granddaughter Anna is very fussy about her clothes., She is only two but wants to pick her outfits.
Jake needed a ride to the store.,His girlfriend was working and wouldn't take him.
I'd been looking for a stand for my TV., I looked everywhere but the ones I saw were expensive.
Sally had a root canal this morning as she had a damaged root.,"After the procedure, the dentist wrote her a prescription."
My dog is terrified of thunder.,There was a storm today.
Mark and Jo were brainstorming ideas for a children's show.,Mark suggested that a monster attacks the children.
Ben's Boy Scout Troop worked for weeks on a float.,It was going to be in the town's July 4th parade.
Francis has always wanted to learn how to tie a necktie.,He decides to practice until he can tie one.
Eric and his wife had a daughter named Meg.,Eric's wife passed away.
My cousin took me to a local restaurant.,We ordered a large pizza.
When I was 12 years old  my dad got angry and kicked me aggressively.,"Afterward, I became very ill, and tasted something metallic."
Fred noticed that he feet got very hot in the summer.,He decided he needed new footwear.
Last year I took a day trip to see a friend in Maine.,"I took the Amtrak from Boston to Saco, Maine."
Heather and her family really wanted tacos for dinner.,Two of the children wanted chicken tacos.
Anna was filling her bird feeders.,But a chunk of suet fell onto the ground.
James had an Xbox 360.,His friends had Xbox accounts online.
The people gathered to protest the court's ruling last week.,They held signs and chanted loudly.
My roommate and I bought a new futon for our living room.,The futon came in a huge box.
Bob chased after the rainbow through the fields.,He ran after it over forests and streams.
Soren ran through the airport  pulling her bags behind her.,The female voice above her announced final boarding to Soren's flight.
Charles had always wanted to have a college degree.,He worked hard for many years to complete his courses.
Stacy originally thought she wanted five kids.,She and Bob first were blessed with a daughter.
Lance was going to make a bet.,He was thinking of making it a big one.
Larry worked at an accounting firm.,It was a boring job but it paid the bills.
Ava was six years old.,She wanted to learn to swim.
James was walking down a street one afternoon.,He noticed a wallet lying on the ground.
Chad's dog would always jump on people.,Chad couldn't bring his dog anywhere.
Karl was a good baseball player in his youth., As a middle-aged man he joined an adult baseball team.
Nick was trying to buy a house.,He lived with a roommate that he couldn't trust.
Jody bought a goldfish from the pet store.,She noticed that the goldfish looked quite fat.
Jane had recently gotten a new job.,She was nervous about her first day of work.
Jill was going on a trip to the amazon.,She arrived after a flight from the US.
Chris is a defense attorney.,He has a client that he must defend in court.
Julie was feeling hungry.,She thought she would order some Pizza.
David was walking down the street when he felt down.,He stood up and saw that his knee was bleeding.
